Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"MK","Macro Indicators","2","Afghanistan","6109","Value Local Currency","22011","Gross National Income","2017","2017","millions","1470831.623636","X","International reliable sources","Data from UNSD AMA"
"MK","Macro Indicators","2","Afghanistan","6110","Value US$","22011","Gross National Income","2017","2017","millions","21621.322379","X","International reliable sources","Data from UNSD AMA"
"MK","Macro Indicators","2","Afghanistan","6119","Value US$","22039","Gross National Income per capita","2013","2013","","683.410314","Fc","Calculated data",""
"MK","Macro Indicators","2","Afghanistan","6119","Value US$","22039","Gross National Income per capita","2017","2017","","608.535691","Fc","Calculated data",""
"MK","Macro Indicators","3","Albania","6109","Value Local Currency","22008","Gross Domestic Product","2013","2013","millions","1350052.635938","X","International reliable sources","Data from UNSD AMA"
"MK","Macro Indicators","3","Albania","6110","Value US$","22008","Gross Domestic Product","2013","2013","millions","12776.280738","X","International reliable sources","Data from UNSD AMA"
"MK","Macro Indicators","3","Albania","6166","Value Local Currency, 2010 prices","22008","Gross Domestic Product","2013","2013","millions","1302132.543","X","International reliable sources","Data from UNSD AMA"
"MK","Macro Indicators","3","Albania","6183","Value Local Currency, 2015 prices","22008","Gross Domestic Product","2013","2013","millions","1378708.563265","X","International reliable sources","Data from UNSD AMA"
"MK","Macro Indicators","3","Albania","6167","Value US$, 2010 prices","22008","Gross Domestic Product","2013","2013","millions","12528.161452","X","International reliable sources","Data from UNSD AMA"
"MK","Macro Indicators","3","Albania","6184","Value US$, 2015 prices","22008","Gross Domestic Product","2013","2013","millions","10945.534087","X","International reliable sources","Data from UNSD AMA"
"MK","Macro Indicators","3","Albania","6155","Annual growth Local Currency","22008","Gross Domestic Product","2013","2013","%","1.293631","Fc","Calculated data",""
"MK","Macro Indicators","3","Albania","6170","Annual growth, Local Currency, 2010 prices","22008","Gross Domestic Product","2013","2013","%","1.001987","FC","Calculated data",""
"MK","Macro Indicators","3","Albania","6181","Annual growth, Local Currency, 2015 prices","22008","Gross Domestic Product","2013","2013","%","1.001988","Fc","Calculated data",""
"MK","Macro Indicators","3","Albania","6129","Annual growth US$","22008","Gross Domestic Product","2013","2013","%","3.705433","Fc","Calculated data",""
"MK","Macro Indicators","3","Albania","6171","Annual growth, US$, 2010 prices","22008","Gross Domestic Product","2013","2013","%","1.001987","Fc","Calculated data",""
"MK","Macro Indicators","3","Albania","6182","Annual growth, US$, 2015 prices","22008","Gross Domestic Product","2013","2013","%","1.001988","Fc","Calculated data",""
"MK","Macro Indicators","3","Albania","6109","Value Local Currency","22008","Gross Domestic Product","2017","2017","millions","1551281.32631","X","International reliable sources","Data from UNSD AMA"
"MK","Macro Indicators","3","Albania","6110","Value US$","22008","Gross Domestic Product","2017","2017","millions","13025.068581","X","International reliable sources","Data from UNSD AMA"
"MK","Macro Indicators","3","Albania","6166","Value Local Currency, 2010 prices","22008","Gross Domestic Product","2017","2017","millions","1453833.3489","X","International reliable sources","Data from UNSD AMA"
"MK","Macro Indicators","3","Albania","6183","Value Local Currency, 2015 prices","22008","Gross Domestic Product","2017","2017","millions","1538476.495169","X","International reliable sources","Data from UNSD AMA"
"MK","Macro Indicators","3","Albania","6167","Value US$, 2010 prices","22008","Gross Domestic Product","2017","2017","millions","13987.715011","X","International reliable sources","Data from UNSD AMA"
"MK","Macro Indicators","3","Albania","6184","Value US$, 2015 prices","22008","Gross Domestic Product","2017","2017","millions","12213.927851","X","International reliable sources","Data from UNSD AMA"
"MK","Macro Indicators","3","Albania","6155","Annual growth Local Currency","22008","Gross Domestic Product","2017","2017","%","5.351668","Fc","Calculated data",""
"MK","Macro Indicators","3","Albania","6170","Annual growth, Local Currency, 2010 prices","22008","Gross Domestic Product","2017","2017","%","3.841364","FC","Calculated data",""
"MK","Macro Indicators","3","Albania","6181","Annual growth, Local Currency, 2015 prices","22008","Gross Domestic Product","2017","2017","%","3.821081","Fc","Calculated data",""
"MK","Macro Indicators","3","Albania","6129","Annual growth US$","22008","Gross Domestic Product","2017","2017","%","9.810953","Fc","Calculated data",""
"MK","Macro Indicators","3","Albania","6171","Annual growth, US$, 2010 prices","22008","Gross Domestic Product","2017","2017","%","3.841364","Fc","Calculated data",""
"MK","Macro Indicators","3","Albania","6182","Annual growth, US$, 2015 prices","22008","Gross Domestic Product","2017","2017","%","3.821081","Fc","Calculated data",""
"MK","Macro Indicators","3","Albania","6119","Value US$","22014","Gross Domestic Product per capita","2013","2013","","4376.970549","Fc","Calculated data",""
"MK","Macro Indicators","3","Albania","6107","Value US$, 2010 prices","22014","Gross Domestic Product per capita","2013","2013","","4291.96844","Fc","Calculated data",""
"MK","Macro Indicators","3","Albania","6185","Value US$, 2015 prices","22014","Gross Domestic Product per capita","2013","2013","","3749.783002","Fc","Calculated data",""
"MK","Macro Indicators","3","Albania","6171","Annual growth, US$, 2010 prices","22014","Gross Domestic Product per capita","2013","2013","%","1.0387","Fc","Calculated data",""
