Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EK","Livestock Patterns","9","Argentina","7211","Share in total livestock","1057","Chickens","2017","2017","% of total LSU","2.67","Fc","Calculated data"
"EK","Livestock Patterns","9","Argentina","5118","Stocks","1057","Chickens","2013","2013","Livestock units (LSU)","1070000","Fc","Calculated data"
"EK","Livestock Patterns","9","Argentina","5118","Stocks","1057","Chickens","2017","2017","Livestock units (LSU)","1163000","Fc","Calculated data"
"EK","Livestock Patterns","1","Armenia","7213","Livestock units per agricultural land area","1057","Chickens","2013","2013","LSU/ha","0.02","Fc","Calculated data"
"EK","Livestock Patterns","1","Armenia","7213","Livestock units per agricultural land area","1057","Chickens","2017","2017","LSU/ha","0.02","Fc","Calculated data"
"EK","Livestock Patterns","1","Armenia","7211","Share in total livestock","1057","Chickens","2013","2013","% of total LSU","6.98","Fc","Calculated data"
"EK","Livestock Patterns","1","Armenia","7211","Share in total livestock","1057","Chickens","2017","2017","% of total LSU","6.85","Fc","Calculated data"
"EK","Livestock Patterns","1","Armenia","5118","Stocks","1057","Chickens","2013","2013","Livestock units (LSU)","38250","Fc","Calculated data"
"EK","Livestock Patterns","1","Armenia","5118","Stocks","1057","Chickens","2017","2017","Livestock units (LSU)","38142.05","Fc","Calculated data"
"EK","Livestock Patterns","10","Australia","7213","Livestock units per agricultural land area","1057","Chickens","2013","2013","LSU/ha","0","Fc","Calculated data"
"EK","Livestock Patterns","10","Australia","7213","Livestock units per agricultural land area","1057","Chickens","2017","2017","LSU/ha","0","Fc","Calculated data"
"EK","Livestock Patterns","10","Australia","7211","Share in total livestock","1057","Chickens","2013","2013","% of total LSU","2.74","Fc","Calculated data"
"EK","Livestock Patterns","10","Australia","7211","Share in total livestock","1057","Chickens","2017","2017","% of total LSU","2.89","Fc","Calculated data"
"EK","Livestock Patterns","10","Australia","5118","Stocks","1057","Chickens","2013","2013","Livestock units (LSU)","986530","Fc","Calculated data"
"EK","Livestock Patterns","10","Australia","5118","Stocks","1057","Chickens","2017","2017","Livestock units (LSU)","950120","Fc","Calculated data"
"EK","Livestock Patterns","11","Austria","7213","Livestock units per agricultural land area","1057","Chickens","2013","2013","LSU/ha","0.06","Fc","Calculated data"
"EK","Livestock Patterns","11","Austria","7213","Livestock units per agricultural land area","1057","Chickens","2017","2017","LSU/ha","0.06","Fc","Calculated data"
"EK","Livestock Patterns","11","Austria","7211","Share in total livestock","1057","Chickens","2013","2013","% of total LSU","5.89","Fc","Calculated data"
"EK","Livestock Patterns","11","Austria","7211","Share in total livestock","1057","Chickens","2017","2017","% of total LSU","6.15","Fc","Calculated data"
"EK","Livestock Patterns","11","Austria","5118","Stocks","1057","Chickens","2013","2013","Livestock units (LSU)","163000","Fc","Calculated data"
"EK","Livestock Patterns","11","Austria","5118","Stocks","1057","Chickens","2017","2017","Livestock units (LSU)","167833.4","Fc","Calculated data"
"EK","Livestock Patterns","52","Azerbaijan","7213","Livestock units per agricultural land area","1057","Chickens","2013","2013","LSU/ha","0.05","Fc","Calculated data"
