Domain Code,Domain,Area Code,Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","284","Åland Islands","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7009","September","","113.4","X","International reliable sources","base year is 2010"
"CP","Consumer Price Indices","284","Åland Islands","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7010","October","","113.5","X","International reliable sources","base year is 2010"
"CP","Consumer Price Indices","284","Åland Islands","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7011","November","","114.2","X","International reliable sources","base year is 2010"
"CP","Consumer Price Indices","284","Åland Islands","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7012","December","","115","X","International reliable sources","base year is 2010"
"CP","Consumer Price Indices","3","Albania","2013","2013","23013","Consumer Prices, Food Indices (2010 = 100)","7001","January","","111.236833","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","3","Albania","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7001","January","","128.78408","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","3","Albania","2013","2013","23013","Consumer Prices, Food Indices (2010 = 100)","7002","February","","114.086015","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","3","Albania","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7002","February","","130.656432","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","3","Albania","2013","2013","23013","Consumer Prices, Food Indices (2010 = 100)","7003","March","","115.510607","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","3","Albania","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7003","March","","131.305124","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","3","Albania","2013","2013","23013","Consumer Prices, Food Indices (2010 = 100)","7004","April","","115.035743","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","3","Albania","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7004","April","","129.523372","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","3","Albania","2013","2013","23013","Consumer Prices, Food Indices (2010 = 100)","7005","May","","112.18656","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","3","Albania","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7005","May","","126.076325","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","3","Albania","2013","2013","23013","Consumer Prices, Food Indices (2010 = 100)","7006","June","","110.643253","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","3","Albania","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7006","June","","125.245313","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","3","Albania","2013","2013","23013","Consumer Prices, Food Indices (2010 = 100)","7007","July","","108.743798","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","3","Albania","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7007","July","","124.77045","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","3","Albania","2013","2013","23013","Consumer Prices, Food Indices (2010 = 100)","7008","August","","108.38765","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","3","Albania","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7008","August","","126.076325","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","3","Albania","2013","2013","23013","Consumer Prices, Food Indices (2010 = 100)","7009","September","","110.049673","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","3","Albania","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7009","September","","126.669905","X","International reliable sources","base year is rescaled to 2010"
