country,protein_poultry_gcapitaday,prod_poultry_over_domsupply,growth_import_poultry,growth_domsupply_poultry,import_poultry_over_domsupply,net_import_poultry_over_domsupply
Italy,7.83,112.10571184995737,11.494252873563227,1.9113814074717572,8.269394714407502,-7.331628303495311
Côte d'Ivoire,0.86,89.23076923076924,600.0,32.65306122448979,10.76923076923077,10.76923076923077
Kazakhstan,6.18,51.66163141993958,1.7543859649122862,8.881578947368428,52.567975830815705,50.755287009063444
Jamaica,15.71,84.21052631578947,-27.906976744186053,4.109589041095885,20.394736842105264,19.736842105263158
Japan,7.24,91.7184265010352,1.2310606060605966,-3.6312849162011163,44.26501035196687,43.850931677018636
Jordan,10.1,76.36363636363637,-23.809523809523814,13.168724279835399,23.272727272727273,19.636363636363637
Kyrgyzstan,1.08,21.875,-50.98039215686274,-43.85964912280702,78.125,78.125
Kenya,0.23,100.0,0.0,66.66666666666667,0.0,0.0
Cambodia,0.74,73.68421052631578,900.0,35.71428571428572,26.31578947368421,26.31578947368421
Democratic People's Republic of Korea,0.49,100.0,0.0,-2.2727272727272707,0.0,0.0
Republic of Korea,5.68,98.12646370023418,4.580152671755733,8.375634517766507,16.04215456674473,15.339578454332553
Kuwait,15.87,29.629629629629626,-1.4388489208633115,4.419889502762442,72.4867724867725,70.37037037037037
Latvia,7.22,80.48780487804879,48.27586206896552,-2.3809523809523836,104.8780487804878,56.09756097560976
Lao People's Democratic Republic,3.59,0.0,0.0,-100.0,0.0,0.0
Lebanon,3.9,87.67123287671232,-23.529411764705888,-25.510204081632647,17.80821917808219,12.32876712328767
Lesotho,2.72,11.76470588235294,-11.764705882352944,-19.047619047619047,88.23529411764706,88.23529411764706
Liberia,3.74,30.0,92.0,31.578947368421062,96.0,96.0
Lithuania,9.74,143.90243902439025,33.33333333333333,1.2345679012345734,53.65853658536586,-29.268292682926827
"China, Macao SAR",11.9,15.789473684210526,35.29411764705883,-9.523809523809524,121.05263157894737,121.05263157894737
Madagascar,0.97,98.78048780487805,0.0,13.888888888888884,0.0,0.0
Malawi,1.74,132.6530612244898,0.0,326.0869565217392,0.0,0.0
Malaysia,12.95,106.35410240592226,44.6808510638298,9.749492213947185,4.194941394201111,1.4805675508945095
Maldives,4.7,0.0,19.999999999999996,19.999999999999996,100.0,100.0
Mali,0.96,92.3076923076923,-66.66666666666667,10.63829787234043,1.9230769230769231,1.9230769230769231
Malta,12.68,28.57142857142857,0.0,7.692307692307687,64.28571428571429,64.28571428571429
Mauritania,1.59,22.727272727272727,41.176470588235304,0.0,109.09090909090908,109.09090909090908
Mauritius,13.06,97.95918367346938,0.0,0.0,4.081632653061225,4.081632653061225
Mexico,9.26,77.00876985067552,14.487632508833915,14.491180461329712,23.038634747570512,22.82531405546338
Mongolia,0.95,0.0,25.0,0.0,111.11111111111111,111.11111111111111
Morocco,7.29,102.14477211796248,-25.0,8.746355685131203,0.40214477211796246,0.2680965147453083
Mozambique,1.2,79.3103448275862,140.0,222.22222222222223,20.689655172413794,20.689655172413794
Republic of Moldova,5.53,81.81818181818183,-15.789473684210531,4.761904761904767,24.242424242424242,24.242424242424242
Namibia,4.25,39.285714285714285,61.111111111111114,0.0,103.57142857142858,60.71428571428571
Nepal,0.67,100.0,0.0,34.883720930232556,0.0,0.0
Netherlands,8.48,295.6989247311828,6.2937062937062915,-13.888888888888884,163.44086021505376,-217.74193548387095
New Caledonia,14.05,9.090909090909092,-18.181818181818176,0.0,81.81818181818183,81.81818181818183
North Macedonia,7.01,4.878048780487805,5.263157894736836,2.499999999999991,97.5609756097561,95.1219512195122
Vanuatu,4.05,33.33333333333333,100.0,0.0,133.33333333333331,133.33333333333331
New Zealand,12.02,132.73809523809524,0.0,6.329113924050622,0.5952380952380952,-13.095238095238097
Nicaragua,6.91,103.6231884057971,0.0,6.153846153846154,4.3478260869565215,4.3478260869565215
Niger,0.32,90.47619047619048,50.0,10.526315789473696,14.285714285714285,14.285714285714285
Nigeria,0.31,99.5049504950495,-100.0,-32.89036544850499,0.0,0.0
Norway,7.81,99.01960784313727,0.0,-3.7735849056603765,1.9607843137254901,1.9607843137254901
Pakistan,1.97,99.9219968798752,0.0,40.57017543859649,0.15600624024961,-0.15600624024961
Panama,10.34,103.125,33.33333333333333,20.75471698113207,10.416666666666668,10.416666666666668
Czechia,7.5,65.46184738955823,14.851485148514843,22.058823529411775,46.58634538152611,35.7429718875502
Paraguay,1.8,109.75609756097562,0.0,-4.651162790697672,2.4390243902439024,-7.317073170731707
Peru,6.71,96.19172685489166,93.5483870967742,23.720552396425674,3.939592908732764,3.8739330269205516
Philippines,4.65,83.62919132149902,151.5151515151515,29.88898377455167,16.370808678500985,16.23931623931624
Poland,12.14,203.37370242214533,12.244897959183664,7.235621521335811,4.757785467128028,-83.91003460207612
Portugal,12.74,111.07692307692307,28.125,-1.2158054711246202,25.23076923076923,11.692307692307692
Guinea-Bissau,0.74,75.0,300.0,33.33333333333333,100.0,100.0
Timor-Leste,1.46,20.0,83.33333333333333,-16.666666666666664,220.00000000000003,220.00000000000003
Zimbabwe,1.59,90.78947368421053,0.0,8.571428571428562,7.894736842105263,7.894736842105263
Romania,7.91,102.88713910761156,62.22222222222222,14.071856287425156,38.320209973753286,20.209973753280842
Rwanda,0.5,100.0,0.0,18.75,0.0,0.0
Russian Federation,10.44,97.54170324846356,-57.35849056603774,15.137730603992928,4.960491659350307,2.436347673397717
Saint Kitts and Nevis,19.22,0.0,0.0,0.0,100.0,100.0
Saint Lucia,19.0,9.090909090909092,-16.666666666666664,-15.384615384615385,90.9090909090909,90.9090909090909
Saint Vincent and the Grenadines,25.1,0.0,12.5,0.0,112.5,112.5
Sao Tome and Principe,3.21,50.0,100.0,0.0,100.0,100.0
Saudi Arabia,15.57,42.926829268292686,-17.86120591581343,1.4851485148514865,50.31358885017422,49.61672473867596
Senegal,1.61,100.0,0.0,18.461538461538463,0.0,0.0
Sierra Leone,1.24,56.666666666666664,0.0,0.0,46.666666666666664,46.666666666666664
Slovenia,8.72,138.46153846153845,17.647058823529417,4.0000000000000036,38.46153846153847,-17.307692307692307
Slovakia,4.74,95.94594594594594,5.000000000000004,-13.953488372093027,85.13513513513513,37.83783783783784
South Africa,14.11,78.7063267233239,44.38202247191012,6.80786686838124,24.268177525967893,21.29367327667611
Spain,12.47,101.20240480961924,19.883040935672526,10.154525386313473,13.694054776219106,-0.46760187040748163
Suriname,9.27,40.0,-14.28571428571429,-13.793103448275868,72.0,52.0
Tajikistan,1.45,5.0,89.99999999999999,90.47619047619047,95.0,95.0
Eswatini,2.23,85.71428571428571,0.0,-12.5,28.57142857142857,28.57142857142857
Sweden,7.09,83.9572192513369,15.068493150684926,5.0561797752809,44.919786096256686,32.62032085561498
Switzerland,6.49,68.42105263157895,-8.92857142857143,0.7575757575757569,38.34586466165413,35.338345864661655
Turkmenistan,1.53,74.07407407407408,800.0,28.57142857142858,33.33333333333333,33.33333333333333
"China, Taiwan Province of",11.01,83.05732484076434,38.793103448275865,4.666666666666663,20.50955414012739,19.49044585987261
United Republic of Tanzania,0.63,97.22222222222221,0.0,19.999999999999996,1.8518518518518516,1.8518518518518516
Thailand,4.35,190.2383654937571,-81.81818181818181,-6.772486772486774,0.22701475595913734,-90.12485811577753
Togo,2.39,74.07407407407408,23.076923076923084,19.999999999999996,29.629629629629626,29.629629629629626
Trinidad and Tobago,16.63,80.26315789473685,-7.9999999999999964,-16.483516483516482,30.263157894736842,30.263157894736842
Oman,7.38,6.140350877192982,6.779661016949157,0.0,110.5263157894737,96.49122807017544
Tunisia,6.28,109.23076923076923,-100.0,-3.9408866995073843,0.0,-2.051282051282051
Turkey,6.99,130.94384707287935,100.0,18.976545842217483,0.17921146953405018,-25.448028673835125
United Arab Emirates,14.8,11.650485436893204,15.466666666666672,7.291666666666674,105.09708737864078,82.28155339805825
Uganda,0.51,98.48484848484848,0.0,15.789473684210531,0.0,0.0
United Kingdom of Great Britain and Northern Ireland,13.77,81.19964189794091,-4.064039408866993,6.838833094213292,34.87018800358102,18.800358102059086
Ukraine,7.58,120.01982160555005,63.51351351351351,-8.189262966333033,11.992071357779981,-15.064420218037661
United States of America,19.93,119.97153180773022,21.78217821782178,13.453416149068321,0.6733822402277456,-19.53903427132377
Burkina Faso,0.77,100.0,0.0,21.052631578947366,0.0,0.0
Uruguay,2.97,100.0,-25.0,-66.66666666666667,9.090909090909092,0.0
Uzbekistan,0.63,0.0,-100.0,-100.0,0.0,0.0
Venezuela (Bolivarian Republic of),7.23,95.84664536741214,-91.0394265232975,-47.571189279731996,3.993610223642172,3.993610223642172
Viet Nam,4.01,76.11940298507463,-41.800000000000004,6.443071491615182,24.129353233830848,24.046434494195687
Ethiopia,0.04,100.0,100.0,-77.41935483870968,7.142857142857142,7.142857142857142
Samoa,21.88,0.0,30.76923076923077,7.14285714285714,113.33333333333333,113.33333333333333
Yemen,3.04,68.29268292682927,-28.44036697247706,-6.106870229007633,31.70731707317073,31.70731707317073
Zambia,1.15,81.66666666666667,500.0,25.0,20.0,18.333333333333332
Belgium,4.57,304.60526315789474,34.12698412698412,6.2937062937062915,222.3684210526316,-209.21052631578948
Luxembourg,7.19,0.0,10.000000000000009,0.0,100.0,90.9090909090909
Serbia,3.5,94.44444444444444,0.0,-10.89108910891089,13.333333333333334,5.555555555555555
Montenegro,5.79,40.0,14.28571428571428,0.0,80.0,80.0
Sudan,0.54,97.10144927536231,0.0,43.75,2.898550724637681,2.898550724637681
