country,pop_growth,gdp_percapita_usd,political_stability_index,food_supply_kcalcapitaday,protein_supply_gcapitaday,protein_animal_over_protein,import_poultry_over_domsupply
Iraq,13.257304253544877,3815.7305802499995,-2.33,2505.0,60.54,22.38189626693096,83.03886925795054
Ireland,2.9868774729591374,53611.72163774999,1.02,3714.0,105.80999999999999,57.121255079860134,77.34375
Israel,6.580704115314084,29340.749925000004,-0.88,3507.0,122.62000000000003,59.174686021856125,0.0
Italy,0.8424425883829967,25151.612986,0.24,3522.0,106.68999999999998,53.453931952385425,8.269394714407502
Côte d'Ivoire,10.639346120774906,1196.5055527499999,-1.09,2726.0,59.109999999999985,23.17712738961259,10.76923076923077
Kazakhstan,6.189914000943375,7679.96536725,0.02,3195.0,94.97000000000004,57.913025165841816,52.567975830815705
Jamaica,2.1735662774004405,3746.710009,0.25,2754.0,72.83000000000003,49.388988054373186,20.394736842105264
Japan,-0.6324085967261861,30433.607496750003,1.12,2699.0,86.51999999999998,55.536292186777615,44.26501035196687
Jordan,14.871023923865101,2878.85090625,-0.53,2716.0,69.08,34.916039374638096,23.272727272727273
Kyrgyzstan,7.998704657562161,895.63698475,-0.43,2796.0,85.28,40.478424015009374,78.125
Kenya,10.327686648199608,1046.55175925,-1.08,2125.0,60.86999999999998,25.266962378840148,0.0
Cambodia,6.5423617686604985,954.7866495,0.17,2468.0,65.38,29.305598042214744,26.31578947368421
Democratic People's Republic of Korea,2.0069719015991305,473.1089185000001,-0.48,2033.0,52.27000000000001,20.164530323321213,0.0
Republic of Korea,1.4910861235723383,22197.10192375,0.29,3370.0,96.96999999999998,50.70640404248737,16.04215456674473
Kuwait,15.021739031799243,22385.791044250003,-0.04,3445.0,99.68999999999997,47.55742802688335,72.4867724867725
Latvia,-4.589827561166315,11421.966796749999,0.46,3170.0,97.27000000000002,57.19132312120898,104.8780487804878
Lao People's Democratic Republic,6.294326024291186,1659.139787,0.43,3044.0,83.19000000000001,24.149537203990864,0.0
Lebanon,15.328050529830616,6048.83988725,-1.59,2877.0,67.55,30.05181347150258,17.80821917808219
Lesotho,3.105894416153565,899.5546265,-0.25,2277.0,63.949999999999996,19.108678655199373,88.23529411764706
Liberia,10.683999892663799,324.63960325,-0.41,2127.0,39.91,24.55524931094964,96.0
Lithuania,-5.434482776956884,12079.80836475,0.78,3419.0,125.06000000000002,61.60243083320006,53.65853658536586
"China, Macao SAR",7.830826572816152,54100.60863,1.44,2999.0,100.37000000000006,66.84268207631759,121.05263157894737
Madagascar,11.363738610977503,368.118019,-0.33,1901.0,42.94,21.471821145784816,0.0
Malawi,11.55929629656287,301.48372225,-0.27,2646.0,67.97999999999999,16.85789938217123,0.0
Malaysia,5.550671125646511,8035.8258697500005,0.16,2902.0,78.86999999999999,54.786357296817556,4.194941394201111
Maldives,19.44426397942216,7631.64759775,0.26,2253.0,81.63000000000007,60.12495406100696,100.0
Mali,12.538567211599583,662.4948817500001,-1.91,2923.0,84.74000000000002,27.342459287231524,1.9230769230769231
Malta,2.764747706798776,21764.29268325,1.27,3460.0,116.32,57.573933975240735,64.28571428571429
Mauritania,12.182756541333116,1110.77519,-0.62,2842.0,79.82000000000004,36.87045853169631,109.09090909090908
Mauritius,0.7206169570800114,7662.00197875,0.99,3125.0,88.41000000000004,43.73939599592806,4.081632653061225
Mexico,5.007409879968439,7109.096839999999,-0.65,3258.0,93.30000000000004,46.934619506966776,23.038634747570512
Mongolia,8.050375617107552,2964.7195202499997,0.82,2369.0,82.35000000000001,68.17243472981177,111.11111111111111
Morocco,5.5331843443988005,2426.52235725,-0.41,3378.0,98.03000000000002,27.991431194532286,0.40214477211796246
Mozambique,12.082049219594637,386.13206775000003,-0.98,2301.0,51.180000000000014,17.565455255959353,20.689655172413794
Republic of Moldova,-0.36585267085701423,1594.355406,-0.24,2397.0,63.32,48.689197725837026,24.242424242424242
Namibia,7.572168982604932,3953.86041075,0.63,2429.0,62.0,36.709677419354854,103.57142857142858
Nepal,2.659633337448497,598.30808125,-0.66,2864.0,73.58,17.205762435444417,0.0
Netherlands,1.0558671231196248,37687.451173,0.92,3251.0,104.43000000000004,65.5367231638418,163.44086021505376
New Caledonia,4.8849160996359275,27168.17796675,0.21,2750.0,83.12000000000005,58.08469682386909,81.81818181818183
North Macedonia,0.28558808554830506,3926.12540875,-0.25,2996.0,80.53000000000002,40.866757730038486,97.5609756097561
Vanuatu,11.251388158279262,2270.3857024999998,0.71,2623.0,63.71999999999999,39.78342749529191,133.33333333333331
New Zealand,4.061489228208837,30730.46663875,1.59,3153.0,90.79999999999998,57.19162995594716,0.5952380952380952
Nicaragua,5.31779441899547,1623.0498805000002,-0.05,2627.0,65.99999999999997,33.39393939393941,4.3478260869565215
Niger,16.742617559687933,354.018693,-1.3,2575.0,81.86000000000001,15.233325189347664,14.285714285714285
Nigeria,11.124115638934784,1737.260281,-1.94,2460.0,55.90000000000001,12.737030411449012,0.0
Norway,4.269572227729168,60315.15524000001,1.15,3384.0,109.98,58.647026732133114,1.9607843137254901
Pakistan,8.702986956982684,1063.89058075,-2.4,2325.0,66.24999999999997,42.05283018867926,0.15600624024961
Panama,7.0743996443688895,10325.907874499999,0.39,2839.0,79.42000000000002,53.14782170737848,10.416666666666668
Czechia,0.514814434527322,15459.5525325,1.02,3275.0,86.47999999999999,61.482423681776154,46.58634538152611
Paraguay,5.4803360103319765,3897.0788445,0.12,2741.0,71.85000000000002,46.79192762700068,2.4390243902439024
Peru,5.6099675196338294,4753.04221575,-0.26,2767.0,78.38000000000002,37.637152334779266,3.939592908732764
Philippines,6.373289061752918,2266.84240775,-1.24,2666.0,62.66,41.062879029684005,16.370808678500985
Poland,-0.5368750455506777,10767.67874375,0.52,3526.0,103.01999999999997,53.78567268491557,4.757785467128028
Portugal,-1.7616120506203536,15872.281143,1.08,3494.0,114.41,63.54339655624508,25.23076923076923
Guinea-Bissau,10.913966588907664,491.40443899999997,-0.6,2252.0,44.13,21.142080217539093,100.0
Timor-Leste,7.800612853270739,1690.87638925,0.03,2142.0,57.68999999999999,27.093083723348936,220.00000000000003
Zimbabwe,6.638181569908186,882.8878645,-0.77,2167.0,51.19999999999999,22.695312500000007,7.894736842105263
Romania,-2.3782462984737185,7948.234304,0.06,3525.0,106.61999999999999,49.005815044081785,38.320209973753286
Rwanda,10.81643518248745,569.8934442500001,0.04,2210.0,59.2,14.763513513513516,0.0
Russian Federation,0.8346643009577548,8090.833130749999,-0.67,3362.0,101.87000000000005,54.76587807990575,4.960491659350307
Saint Kitts and Nevis,3.4054558820607594,12630.24469575,0.64,2517.0,76.86,64.14259692948218,100.0
Saint Lucia,1.9384495783407507,7134.6908805,1.15,2658.0,86.25999999999998,60.537908648272676,90.9090909090909
Saint Vincent and the Grenadines,1.1093516967096928,5240.66030925,0.9,2962.0,89.17000000000002,54.36806100706515,112.5
Sao Tome and Principe,7.8100027591664345,1186.6455919999999,0.22,2417.0,51.99999999999999,30.403846153846164,100.0
Saudi Arabia,10.146126759567453,15436.15714675,-0.62,3194.0,87.50999999999998,42.280882184893166,50.31358885017422
Senegal,11.876945593895538,1014.190847,-0.04,2611.0,60.47000000000001,21.514800727633535,0.0
Sierra Leone,9.097373666972587,394.83906275000004,0.03,2452.0,55.66000000000001,23.859144807761407,46.666666666666664
Slovenia,0.6438822942063105,17800.64430725,0.89,3200.0,98.29000000000003,55.03103062366465,38.46153846153847
Slovakia,0.4827799270527233,13616.947515999998,0.88,2771.0,62.24999999999998,59.261044176706854,85.13513513513513
South Africa,6.188886530160542,4844.33047175,-0.27,2987.0,83.36000000000001,41.45873320537426,24.268177525967893
Spain,-0.6032892643183074,22055.0615785,0.27,3270.0,106.99000000000002,62.17403495653798,13.694054776219106
Suriname,4.239974711807792,5460.5100225,0.14,2694.0,60.15,41.13050706566915,72.0
Tajikistan,10.180180101935932,696.01523775,-0.67,2099.0,55.37999999999999,24.304803178042615,95.0
Eswatini,3.4928687952169746,2561.05219475,-0.3,2406.0,61.220000000000006,29.5655014701078,28.57142857142857
Sweden,2.982735732608477,41323.41764725,0.98,3214.0,107.03000000000002,63.16920489582358,44.919786096256686
Switzerland,4.2783477566193495,60127.269148750005,1.21,3414.0,95.46000000000002,61.31363922061595,38.34586466165413
Turkmenistan,7.291491579609177,5244.911026000001,-0.15,2872.0,92.84,43.106419646704,33.33333333333333
"China, Taiwan Province of",1.0800465997557351,50593.0,0.89,2976.0,85.71000000000004,49.53914362384784,20.50955414012739
United Republic of Tanzania,12.740947474739105,703.0622754999999,-0.58,2390.0,59.749999999999986,15.631799163179918,1.8518518518518516
Thailand,1.563283491123979,4743.52144925,-0.76,2826.0,60.94000000000002,42.94387922546766,0.22701475595913734
Togo,10.694201723663443,458.82094425,-0.74,2426.0,57.31000000000002,16.07049380561856,29.629629629629626
Trinidad and Tobago,2.2424416581775963,12113.33208525,0.29,3039.0,84.66000000000001,49.92912827781715,30.263157894736842
Oman,23.93541659251501,11873.362113250001,0.74,2924.0,85.03999999999998,49.62370649106303,110.5263157894737
Tunisia,4.386872542386078,2890.44004525,-1.05,3469.0,98.96999999999996,28.49348287359807,0.0
Turkey,6.836952799839402,9327.46752525,-1.8,3538.0,101.2,35.33596837944664,0.17921146953405018
United Arab Emirates,3.145203638652716,30208.68215625,0.63,3370.0,107.26000000000002,40.88196904717506,105.09708737864078
Uganda,15.330278018314235,472.974306,-0.56,2143.0,52.319999999999986,20.775993883792054,0.0
United Kingdom of Great Britain and Northern Ireland,2.6828796581953362,32199.232769000002,0.26,3428.0,103.87000000000006,56.30114566284774,34.87018800358102
Ukraine,-1.7649089143341623,1894.78864925,-1.89,3033.0,86.15,43.38943702843876,11.992071357779981
United States of America,2.7446912874718343,43018.29679525,0.3,3762.0,113.61000000000004,65.02948684094709,0.6733822402277456
Burkina Faso,12.420053318776048,530.0494412500001,-0.92,2720.0,76.08000000000001,14.379600420609886,0.0
Uruguay,1.392500183658485,11916.129566,1.06,3151.0,84.26000000000002,53.536672205079505,9.090909090909092
Uzbekistan,6.7723883009148,1685.00850525,-0.28,3020.0,93.52000000000002,40.055603079555176,0.0
Venezuela (Bolivarian Republic of),-1.2711308940184796,6042.34985175,-1.18,2247.0,56.3,45.11545293072824,3.993610223642172
Viet Nam,4.240160986255925,1619.29664125,0.31,2938.0,90.02999999999999,40.875263800955246,24.129353233830848
Ethiopia,11.546924417406434,485.90962225,-1.69,2304.0,65.64000000000001,8.912248628884821,7.142857142857142
Samoa,2.429765412808438,3059.3379092500004,1.2,2971.0,85.7,61.83197199533254,113.33333333333333
Yemen,10.687948264748837,515.8141545000001,-2.96,2062.0,53.239999999999995,20.06010518407213,31.70731707317073
Zambia,12.910255716259567,1115.4606205000002,0.11,2008.0,59.06,19.776498476125976,20.0
Belgium,2.3824528023959957,32988.01662525,0.42,3770.0,101.35000000000004,57.109028120374916,222.3684210526316
Luxembourg,9.09576820996756,81059.3191255,1.34,3334.0,105.79000000000002,63.69222043671423,100.0
Serbia,-1.0009750076915291,4580.333115999999,0.1,2799.0,82.43000000000002,48.538153584859884,13.333333333333334
Montenegro,0.1944615188115062,5609.03511525,0.01,3478.0,113.12000000000006,60.7054455445544,80.0
Sudan,10.090611517146787,1722.8320059999999,-2.01,2431.0,67.88,31.14319387153801,2.898550724637681
