country,food_supply_kcalcapitaday,pop_growth,protein_supply_gcapitaday,protein_animal_over_protein,pop_thousand,euro_union
Iraq,2542.0,13.257304253544877,2505.0,0.5409181636726548,37552.781,Outside EU
Ireland,3602.0,2.9868774729591374,3714.0,1.627355950457728,4753.279,EU
Israel,3610.0,6.580704115314084,3507.0,2.0690048474479608,8243.848,Outside EU
Italy,3578.0,0.8424425883829967,3522.0,1.6192504258943787,60673.700999999994,EU
Côte d'Ivoire,2797.0,10.639346120774906,2726.0,0.5025678650036682,24437.47,Outside EU
Kazakhstan,3262.0,6.189914000943375,3195.0,1.7214397496087637,18080.019,Outside EU
Jamaica,2742.0,2.1735662774004405,2754.0,1.306100217864924,2920.848,Outside EU
Japan,2726.0,-0.6324085967261861,2699.0,1.780288995924416,127502.725,Outside EU
Jordan,3099.0,14.871023923865101,2716.0,0.8880706921944035,9785.843,Outside EU
Kyrgyzstan,2817.0,7.998704657562161,2796.0,1.234620886981402,6189.733,Outside EU
Kenya,2205.0,10.327686648199608,2125.0,0.7237647058823528,50221.142,Outside EU
Cambodia,2473.0,6.5423617686604985,2468.0,0.7763371150729335,16009.409,Outside EU
Democratic People's Republic of Korea,2093.0,2.0069719015991305,2033.0,0.5184456468273488,25429.825,Outside EU
Republic of Korea,3333.0,1.4910861235723383,3370.0,1.4590504451038575,51096.415,Outside EU
Kuwait,3499.0,15.021739031799243,3445.0,1.3761973875181421,4056.099,Outside EU
Latvia,3172.0,-4.589827561166315,3170.0,1.7548895899053625,1951.0970000000002,EU
Lao People's Democratic Republic,2455.0,6.294326024291186,3044.0,0.6599868593955324,6953.035,Outside EU
Lebanon,3059.0,15.328050529830616,2877.0,0.705596107055961,6819.3730000000005,Outside EU
Lesotho,2528.0,3.105894416153565,2277.0,0.5366710584101888,2091.534,Outside EU
Liberia,2206.0,10.683999892663799,2127.0,0.46074283027738616,4702.226,Outside EU
Lithuania,3414.0,-5.434482776956884,3419.0,2.2532904357999413,2845.414,EU
"China, Macao SAR",2915.0,7.830826572816152,2999.0,2.237079026342114,622.585,Outside EU
Madagascar,2056.0,11.363738610977503,1901.0,0.4850078905839032,25570.512000000002,Outside EU
Malawi,2364.0,11.55929629656287,2646.0,0.4331065759637188,17670.196,Outside EU
Malaysia,2914.0,5.550671125646511,2902.0,1.4889731219848383,31104.646,Outside EU
Maldives,2733.0,19.44426397942216,2253.0,2.1784287616511326,496.402,Outside EU
Mali,2887.0,12.538567211599583,2923.0,0.7926787547040712,18512.43,Outside EU
Malta,3374.0,2.764747706798776,3460.0,1.9355491329479768,437.93300000000005,EU
Mauritania,2875.0,12.182756541333116,2842.0,1.0355383532723437,4282.57,Outside EU
Mauritius,3067.0,0.7206169570800114,3125.0,1.2374400000000003,1264.499,Outside EU
Mexico,3068.0,5.007409879968439,3258.0,1.3440761203192144,124777.32400000001,Outside EU
Mongolia,2509.0,8.050375617107552,2369.0,2.3697762769100885,3113.7859999999996,Outside EU
Morocco,3402.0,5.5331843443988005,3378.0,0.812314979277679,35581.255,Outside EU
Mozambique,2282.0,12.082049219594637,2301.0,0.3906996957844415,28649.017999999996,Outside EU
Republic of Moldova,2715.0,-0.36585267085701423,2397.0,1.28619107217355,4059.684,Outside EU
Namibia,2166.0,7.572168982604932,2429.0,0.9370111156854676,2402.633,Outside EU
Nepal,2672.0,2.659633337448497,2864.0,0.44203910614525144,27632.681,Outside EU
Netherlands,3222.0,1.0558671231196248,3251.0,2.1051984004921565,17021.346999999998,EU
New Caledonia,2855.0,4.8849160996359275,2750.0,1.7556363636363637,277.15,Outside EU
North Macedonia,2946.0,0.28558808554830506,2996.0,1.0984646194926566,2081.996,Outside EU
Vanuatu,2833.0,11.251388158279262,2623.0,0.9664506290507054,285.51,Outside EU
New Zealand,3136.0,4.061489228208837,3153.0,1.6470028544243576,4702.034000000001,Outside EU
Nicaragua,2638.0,5.31779441899547,2627.0,0.8389798248953182,6384.846,Outside EU
Niger,2549.0,16.742617559687933,2575.0,0.4842718446601941,21602.382,Outside EU
Nigeria,2700.0,11.124115638934784,2460.0,0.2894308943089431,190873.24399999998,Outside EU
Norway,3483.0,4.269572227729168,3384.0,1.9060283687943265,5296.326,Outside EU
Pakistan,2438.0,8.702986956982684,2325.0,1.198279569892473,207906.20899999997,Outside EU
Panama,2731.0,7.0743996443688895,2839.0,1.4867911236350828,4106.769,Outside EU
Czechia,3255.0,0.514814434527322,3275.0,1.6235114503816797,10641.034,EU
Paraguay,2584.0,5.4803360103319765,2741.0,1.2265596497628606,6867.061,Outside EU
Peru,2697.0,5.6099675196338294,2767.0,1.0661366100469825,31444.298,Outside EU
Philippines,2568.0,6.373289061752918,2666.0,0.9651162790697674,105172.925,Outside EU
Poland,3450.0,-0.5368750455506777,3526.0,1.5714690867838912,37953.18,EU
Portugal,3472.0,-1.7616120506203536,3494.0,2.0807097882083565,10288.527,EU
Guinea-Bissau,2288.0,10.913966588907664,2252.0,0.41429840142095914,1828.145,Outside EU
Timor-Leste,2129.0,7.800612853270739,2142.0,0.7296918767507004,1243.258,Outside EU
Zimbabwe,2113.0,6.638181569908186,2167.0,0.5362251961236734,14236.595,Outside EU
Romania,3359.0,-2.3782462984737185,3525.0,1.482269503546099,19653.968999999997,EU
Rwanda,2224.0,10.81643518248745,2210.0,0.39547511312217193,11980.961000000001,Outside EU
Russian Federation,3360.0,0.8346643009577548,3362.0,1.6594289113622842,145530.082,Outside EU
Saint Kitts and Nevis,2491.0,3.4054558820607594,2517.0,1.9586809694080256,52.045,Outside EU
Saint Lucia,2589.0,1.9384495783407507,2658.0,1.964635063957863,180.954,Outside EU
Saint Vincent and the Grenadines,2965.0,1.1093516967096928,2962.0,1.6367319378798109,109.82700000000001,Outside EU
Sao Tome and Principe,2398.0,7.8100027591664345,2417.0,0.6541166735622674,207.08900000000003,Outside EU
Saudi Arabia,3255.0,10.146126759567453,3194.0,1.1584220413274888,33101.179,Outside EU
Senegal,2453.0,11.876945593895538,2611.0,0.4982765224052087,15419.355,Outside EU
Sierra Leone,2401.0,9.097373666972587,2452.0,0.5415986949429037,7488.423000000001,Outside EU
Slovenia,3168.0,0.6438822942063105,3200.0,1.6903124999999999,2076.394,EU
Slovakia,2943.0,0.4827799270527233,2771.0,1.3312883435582825,5447.9,EU
South Africa,3020.0,6.188886530160542,2987.0,1.1570137261466351,57009.755999999994,Outside EU
Spain,3173.0,-0.6032892643183074,3270.0,2.0342507645259946,46647.428,EU
Suriname,2752.0,4.239974711807792,2694.0,0.91833704528582,570.496,Outside EU
Tajikistan,2199.0,10.180180101935932,2099.0,0.6412577417818007,8880.268,Outside EU
Eswatini,2326.0,3.4928687952169746,2406.0,0.7522859517871986,1124.805,Outside EU
Sweden,3180.0,2.982735732608477,3214.0,2.103609209707529,9904.896,EU
Switzerland,3393.0,4.2783477566193495,3414.0,1.7144112478031628,8455.804,Outside EU
Turkmenistan,2836.0,7.291491579609177,2872.0,1.3934540389972143,5757.6669999999995,Outside EU
"China, Taiwan Province of",2998.0,1.0800465997557351,2976.0,1.4267473118279572,23674.546000000002,Outside EU
United Republic of Tanzania,2204.0,12.740947474739105,2390.0,0.3907949790794978,54660.33900000001,Outside EU
Thailand,2785.0,1.563283491123979,2826.0,0.9260438782731778,69209.81,Outside EU
Togo,2448.0,10.694201723663443,2426.0,0.3796372629843363,7698.474,Outside EU
Trinidad and Tobago,3049.0,2.2424416581775963,3039.0,1.3909180651530109,1384.059,Outside EU
Oman,3140.0,23.93541659251501,2924.0,1.4432284541723666,4665.928,Outside EU
Tunisia,3349.0,4.386872542386078,3469.0,0.8129143845488613,11433.443000000001,Outside EU
Turkey,3708.0,6.836952799839402,3538.0,1.0107405313736577,81116.45,Outside EU
United Arab Emirates,3275.0,3.145203638652716,3370.0,1.3011869436201777,9487.203000000001,Outside EU
Uganda,2126.0,15.330278018314235,2143.0,0.5072328511432572,41166.587999999996,Outside EU
United Kingdom of Great Britain and Northern Ireland,3425.0,2.6828796581953362,3428.0,1.7059509918319715,66727.461,EU
Ukraine,3138.0,-1.7649089143341623,3033.0,1.2324431256181998,44487.709,Outside EU
United States of America,3682.0,2.7446912874718343,3762.0,1.963849016480595,325084.756,Outside EU
Burkina Faso,2717.0,12.420053318776048,2720.0,0.40220588235294114,19193.234,Outside EU
Uruguay,3052.0,1.392500183658485,3151.0,1.4316090130117423,3436.6409999999996,Outside EU
Uzbekistan,2759.0,6.7723883009148,3020.0,1.2403973509933777,31959.785,Outside EU
Venezuela (Bolivarian Republic of),2633.0,-1.2711308940184796,2247.0,1.1303960836671119,29402.484,Outside EU
Viet Nam,2744.0,4.240160986255925,2938.0,1.2525527569775357,94600.648,Outside EU
Ethiopia,2129.0,11.546924417406434,2304.0,0.25390624999999994,106399.924,Outside EU
Samoa,2956.0,2.429765412808438,2971.0,1.7835745540222145,195.352,Outside EU
Yemen,2217.0,10.687948264748837,2062.0,0.5179437439379243,27834.819,Outside EU
Zambia,1924.0,12.910255716259567,2008.0,0.5816733067729085,16853.599,Outside EU
Belgium,3737.0,2.3824528023959957,3770.0,1.5352785145888594,11419.748,EU
Luxembourg,3540.0,9.09576820996756,3334.0,2.020995800839832,591.91,EU
Serbia,2725.0,-1.0009750076915291,2799.0,1.4294390853876389,8829.628,Outside EU
Montenegro,3490.0,0.1944615188115062,3478.0,1.9744105807935592,627.563,Outside EU
Sudan,2335.0,10.090611517146787,2431.0,0.869600987248046,40813.397000000004,Outside EU
